x,y,z,is_fall
0.044495,-0.191101,-0.889206,0
-0.000763,-0.178772,-1.01535,0
0.076355,-0.15004,-1.00351,0
0.215179,-0.170654,-0.9879,0
0.06131,-0.053894,-0.971832,0
-0.021255,-0.197586,-1.032562,0
0.152161,-0.120316,-1.023026,0
0.118988,-0.095276,-1.006027,0
0.043762,-0.075363,-1.003357,0
0.066833,-0.106689,-0.886612,0
0.05806,-0.13205,-0.962234,0
0.065262,-0.107697,-1.051041,0
0.058044,-0.086075,-0.981018,0
0.059952,-0.097824,-0.991104,0
0.074768,-0.092575,-1.001328,0
0.056808,-0.098785,-0.996414,0
0.065994,-0.096817,-0.983917,0
0.057251,-0.104782,-1.010239,0
0.069214,-0.122131,-0.9879,0
0.085785,-0.13298,-1.002655,0
0.07489,-0.138168,-0.988983,0
0.062988,-0.145447,-0.983597,0
0.047745,-0.168365,-0.985474,0
0.105972,-0.092987,-0.925262,0
0.014893,0.015823,-0.675613,0
0.108994,-0.072021,-0.603348,0
0.171951,-0.08223,-0.559036,0
-0.378998,0.08873,-0.697998,1
-0.68396,0.189575,-1.348373,1
0.109436,-0.54863,-0.608032,1
1.376678,-6.420807,-0.495453,1
0.349869,-0.471024,-0.129883,1
-0.102463,-0.230225,-1.696487,1
0.843231,-0.780609,-0.166641,1
0.453308,-0.512604,-0.626389,1
0.257339,-0.494797,-0.679092,1
0.237518,-0.54805,-1.51535,1
0.136841,-0.286652,-0.629288,0
0.11264,-0.468674,-0.881958,0
0.46344,-0.483231,-1.031967,0
0.376358,-0.475433,-0.896133,0
0.044479,-0.441849,-0.869705,0
0.03389,-0.571198,-0.82959,0
0.084808,-0.568985,-0.746979,0
0.074326,-0.594864,-0.855545,0
0.09668,-0.584579,-0.755676,0
0.020279,-0.626816,-0.757339,0
0.052078,-0.614136,-0.737335,0
0.028198,-0.640091,-0.718597,0
0.024567,-0.614166,-0.834305,0
0.081863,-0.606262,-0.755539,0
0.061386,-0.532608,-0.791519,0
0.236084,-0.506241,-0.964783,0
0.09108,-0.564987,-0.785309,0
0.174408,-0.629807,-0.751053,0
0.149933,-0.605377,-0.765839,0
0.195877,-0.66066,-0.748901,0
0.203583,-0.633987,-0.782242,0
0.105942,-0.642609,-0.725128,0
0.137161,-0.657486,-0.748245,0
0.146164,-0.63269,-0.770584,0
0.165894,-0.646149,-0.74379,0
0.109558,-0.647125,-0.726318,0
0.155746,-0.650574,-0.755432,0
0.079376,-0.647293,-0.766815,0
0.142532,-0.666153,-0.734955,0
0.097717,-0.6474,-0.759186,0
0.10231,-0.656387,-0.752029,0
0.10495,-0.661453,-0.750854,0
0.101486,-0.652847,-0.749115,0
0.093857,-0.659927,-0.741562,0
0.072586,-0.662155,-0.827469,0