x,y,z
0.165848,-0.443222,-0.796265
0.078033,-0.421371,-0.762161
0.013031,-0.324722,-0.868103
-0.035156,-0.320938,-0.854874
0.03685,-0.297592,-0.77298
0.023239,-0.28981,-1.089798
-0.049591,-0.262299,-0.979645
-0.117462,-0.230347,-0.99411
0.029221,-0.313797,-0.973038
-0.067596,-0.254562,-0.874329
-0.085175,-0.286545,-0.932663
-0.332947,-0.406097,-0.985336
-0.399323,-0.298569,-0.877563
-0.533081,-0.267563,-0.817993
-0.660034,-0.198746,-0.753067
-0.660629,-0.006638,-0.621841
-0.677353,0.208969,-0.684937
-0.83522,0.103699,-0.707764
-0.9263,0.121689,-0.368683
-0.930374,0.303101,-0.618423
-0.724838,0.439758,-0.502365
-0.742477,0.365509,-0.535675
-0.731705,0.290131,-0.592972
-0.764633,0.378448,-0.534821
-0.760101,0.285645,-0.558701
-0.819321,0.193024,-0.662918
-0.651596,0.311523,-0.607178
-0.709412,0.369293,-0.567276
-0.681427,0.479965,-0.588699
-0.695068,0.469711,-0.467133
-0.763138,0.447174,-0.429932
-0.840744,0.445572,-0.446381
-0.793442,0.336151,-0.496017
-0.852097,0.199814,-0.424789
-0.747635,0.113144,-0.432831
-0.821915,0.100815,-0.285263
-1.076614,0.217438,-0.272079
-0.976669,-0.069214,-0.4254
-0.645432,-0.250824,-0.061676
-0.909378,-0.327377,-0.06163
-0.566208,-0.220718,-0.263611
-0.713516,-0.426361,-0.785629
-0.665634,-0.445587,-0.436096
-0.69371,-0.663147,-0.354446
-0.681168,-0.807632,-0.186951
-0.739365,-0.751038,-0.383728
-0.868286,-0.749115,-0.267136
-0.626816,-0.67453,-0.054092
-0.663254,-0.674469,-0.076355
-0.801468,-0.726868,-0.234848
-0.709167,-0.583771,-0.188889
-0.739899,-0.640717,-0.134445
-0.702759,-0.665054,-0.069504
-0.741074,-0.730423,-0.155319
-0.743729,-0.700943,-0.131027
-0.676086,-0.661194,-0.196213
-0.681946,-0.69928,-0.207718
-0.445023,-0.83165,-0.020081
-0.593048,-0.81395,-0.072617
-0.608231,-0.856796,0.046692
-0.505829,-0.954559,-0.054398
-0.501297,-0.746628,0.042862
-0.556076,-0.81308,-0.030106
-0.57135,-0.819992,-0.035217
-0.535233,-0.784271,0.040894
-0.543015,-0.861389,0.16539
-0.399704,-0.892136,0.06839
-0.452423,-0.865051,0.062714
-0.355865,-0.920349,0.014496
-0.366226,-0.878067,0.064041
-0.335251,-0.941193,0.265366
-0.332001,-0.834915,0.240372
-0.061462,-0.792496,0.201752
-1.472046,-1.212769,0.075439
-0.791168,-0.658112,-0.092804
-0.698349,-0.669968,-0.034515
-0.821732,-0.618912,0.048859
-0.714386,-0.564728,-0.177597
-0.68396,-0.706467,-0.067673
-0.729462,-0.687744,-0.10463
-0.726761,-0.648376,-0.119843
-0.737915,-0.703705,-0.101212
-0.747833,-0.708649,-0.094421
-0.799805,-0.659073,-0.080215
-0.647293,-0.805099,-0.14917
-0.680634,-0.68457,-0.2258
-0.65509,-0.722626,-0.259583
-0.650986,-0.66127,-0.38414
-0.617996,-0.692474,-0.398529
-0.655563,-0.680328,-0.375488
-0.688553,-0.654068,-0.362106
-0.645935,-0.67897,-0.365753
-0.643036,-0.652725,-0.281982
-0.693176,-0.655884,-0.307709
-0.638763,-0.716934,-0.241302
-0.668884,-0.73616,-0.315872
-0.685318,-0.718216,-0.26857
-0.722794,-0.661514,-0.198486
-0.724289,-0.68573,-0.196609
-0.710495,-0.683624,-0.1754
-0.707092,-0.674973,-0.15448
-0.701447,-0.666687,-0.167831
-0.707977,-0.669891,-0.184845
-0.682587,-0.714203,-0.234512
-0.625046,-0.730606,-0.471786
-0.704483,-0.666748,-0.266922
-0.647675,-0.660477,-0.345367
-0.636841,-0.567764,-0.373199
-0.6745,-0.645386,-0.25592
-0.710602,-0.730515,-0.363739
-0.643524,-0.659103,-0.182297
-0.750275,-0.68959,-0.048157
-0.785477,-0.742645,-0.143341
-0.735657,-0.69249,-0.254959
-0.762634,-0.663742,-0.140366
-0.698517,-0.645813,-0.1241
-0.713379,-0.627304,-0.152786
-0.724808,-0.639694,-0.113022
-0.869446,-0.765594,-0.078354
-0.730621,-0.750046,-0.048965
-0.669617,-0.704803,-0.06189
-0.719223,-0.821716,-0.084457
-0.666367,-0.631989,-0.51265
-0.64975,-0.682236,-0.214203
-0.63327,-0.656265,-0.24704
-0.59848,-0.628738,-0.264984
-0.654724,-0.642731,-0.552216
-0.805588,-0.75769,-0.412766
-0.540527,-0.559952,-0.149216
-0.719696,-0.751068,-0.096588
-0.683075,-0.717804,-0.132477
-0.647644,-0.662827,-0.267014
-0.708511,-0.677582,-0.184708
-0.777725,-0.654266,-0.189026
-0.692688,-0.681961,-0.21019
-0.922333,-0.807785,-0.078629
-0.542252,-0.665527,-0.03183
-0.721802,-0.842117,-0.098923
-0.77124,-0.689529,-0.362183
-0.626755,-0.674759,-0.255493
-0.679596,-0.642212,-0.258408
-0.599335,-0.621033,-0.463058
-0.748734,-0.626404,-0.342041
-0.739044,-0.835938,-0.366791
-0.658005,-0.603668,-0.007477
-0.814423,-0.672775,-0.095139
-0.726593,-0.66774,-0.110321
-0.64151,-0.672531,-0.10347
-0.702057,-0.675262,-0.125168
-0.819626,-0.739014,-0.264816
-0.960052,-0.863174,-0.184555
-0.582214,-0.608902,-0.020035
-0.69957,-0.657303,-0.332489
-0.619339,-0.627594,-0.357147
-0.616837,-0.678879,-0.193558
-0.617157,-0.658493,-0.484955
-0.746857,-0.590363,-0.680069
-0.92131,-0.808044,-0.366577
-0.681076,-0.652908,-0.081909
-0.698853,-0.68364,-0.060486
-0.640533,-0.670883,-0.160675
-0.642166,-0.611496,-0.15477
-0.592316,-0.692505,-0.2677
-0.8125,-0.745697,-0.207016
-0.863861,-0.895767,-0.1586
-0.72258,-0.721786,-0.130356
-0.759659,-0.620667,-0.191284
-0.724762,-0.66893,-0.283249
-0.765335,-0.576309,-0.220459
-0.678772,-0.66716,-0.199829
-0.685669,-0.726883,-0.345444
-0.708847,-0.690582,-0.172852
-0.671371,-0.747452,-0.11348
-0.712479,-0.709579,-0.011566
-0.731766,-0.645889,-0.092133
-0.751434,-0.736526,-0.067719
-0.706696,-0.769287,-0.061783
-0.701447,-0.753265,-0.058136
-0.735764,-0.73642,-0.083389
-0.695206,-0.684937,-0.079666
-0.650635,-0.743591,-0.032654
-0.693619,-0.787918,-0.378616
-0.613495,-0.728607,-0.122238
-0.582703,-0.663223,-0.312683
-0.723938,-0.62088,-0.403427
-0.766846,-0.587936,-0.540863
-0.717697,-0.732269,-0.157043
-0.675598,-0.741455,-0.005768
-0.705826,-0.704773,-0.141861
-0.666901,-0.693954,-0.13916
-0.645691,-0.767334,0.025803
-0.725769,-0.708679,-0.100723
-0.811249,-0.625717,-0.309586
-0.753235,-0.705521,-0.114441
-0.632126,-0.855927,0.008881
-0.619354,-0.794724,-0.131271
-0.542618,-0.624283,-0.650131
-0.604385,-0.68895,-0.257431
-0.636368,-0.608536,-0.518234
-0.750473,-0.648865,-0.362854
-0.848831,-0.799133,-0.390228
-0.483536,-0.606491,-0.049652
-0.734726,-0.76622,-0.194305
-0.608292,-0.696594,-0.103378
-0.625046,-0.740677,-0.16394
-0.684143,-0.768982,-0.139267
-0.750824,-0.691681,-0.174347
-0.854797,-0.904526,-0.104477
-0.417786,-0.667252,-0.082886
-0.622208,-0.81311,-0.126923
-0.528214,-0.65744,-0.303177
-0.618637,-0.657349,-0.3181
-0.629852,-0.647995,-0.403519
-0.674133,-0.70845,-0.328369
-0.64537,-0.665756,-0.431198
-0.7715,-0.859024,-0.199478
-0.517426,-0.654007,-0.013184
-0.641403,-0.759644,-0.110611
-0.629654,-0.72699,-0.134476
-0.677643,-0.754944,-0.202805
-0.677185,-0.736633,-0.105835
-0.64267,-0.71109,-0.095169
-0.718155,-0.774292,-0.103241
-0.582214,-0.790466,-0.051559
-0.588394,-0.86998,-0.25914
-0.610657,-0.779083,-0.132584
-0.613159,-0.742798,-0.234619
-0.662888,-0.71344,-0.193451
-0.594696,-0.708313,-0.129486
-0.642929,-0.737915,-0.109818
-0.652206,-0.754227,-0.148636
-0.680298,-0.723007,-0.136169
-0.641556,-0.758118,-0.139175
-0.678329,-0.730209,-0.141495
-0.642136,-0.747498,-0.143433
-0.657135,-0.74704,-0.135574
-0.66188,-0.736328,-0.161499
-0.660889,-0.739761,-0.147537
-0.644684,-0.745422,-0.146515
-0.657272,-0.738052,-0.144943
-0.65834,-0.74826,-0.140945
-0.643723,-0.736465,-0.146484
-0.663818,-0.741745,-0.149612
-0.636459,-0.75293,-0.141769
-0.657242,-0.740219,-0.148407
-0.654907,-0.730026,-0.152084
-0.647522,-0.748856,-0.149155
-0.650497,-0.754501,-0.146347
-0.64328,-0.75386,-0.135605
-0.641617,-0.750977,-0.140839
-0.647827,-0.749268,-0.141571
-0.64415,-0.747726,-0.14151
-0.648895,-0.751633,-0.142715
-0.649353,-0.74437,-0.142746
-0.660568,-0.744583,-0.148178
-0.659348,-0.747421,-0.141541
-0.658401,-0.736755,-0.147812
-0.655197,-0.737213,-0.147125
-0.664612,-0.738022,-0.152359
-0.65506,-0.741608,-0.145874
-0.65686,-0.740646,-0.147781
-0.657608,-0.740005,-0.151657
-0.652664,-0.744583,-0.151901
-0.650879,-0.745987,-0.149139
-0.649475,-0.745682,-0.148361
-0.642715,-0.743958,-0.141418
-0.645737,-0.752762,-0.144318
-0.636993,-0.763168,-0.144272
-0.62236,-0.748474,-0.131729
-0.623215,-0.768967,-0.128387
-0.591492,-0.781357,-0.119675
-0.585327,-0.772659,-0.209564
-0.630615,-0.746872,-0.141632
-0.599182,-0.765335,-0.203339
-0.623627,-0.819641,-0.145279
-0.605515,-0.824371,-0.166916
-0.561371,-0.743591,-0.25383
-0.604752,-0.711411,-0.173218
-0.609909,-0.650284,-0.093094
-0.785522,-0.932343,-0.070663
-0.727722,-0.816803,-0.110397
-0.669434,-0.798508,-0.14621
-0.353912,-0.681625,-0.251694
-0.450638,-0.713013,-0.035217
-0.756073,-1.04837,-0.15097
-0.574646,-0.94519,-0.417633
-0.476166,-0.652664,-0.098053
-0.43335,-0.518112,-0.156815
-0.610397,-0.828476,-0.036621
-0.792557,-1.024902,-0.127014
-0.693939,-0.85997,-0.115662
-0.4431,-0.594849,-0.084763
-0.322647,-0.589767,0.026611
-0.993256,-1.191742,-0.347198
-0.607971,-0.797623,-0.460815
-0.48111,-0.57254,-0.148422
-0.481277,-0.494934,-0.203522
-0.696564,-1.035706,-0.016739
-0.821198,-1.037552,-0.151917
-0.651596,-0.808624,-0.112396
-0.428726,-0.532104,0.009567
-0.521149,-0.872406,-0.025589
-0.744751,-1.105331,-0.211807
-0.537231,-0.733902,-0.385864
-0.472626,-0.546951,-0.18808
-0.46373,-0.432938,-0.222458
-0.725082,-1.04657,-0.024216
-0.73909,-0.969513,-0.17128
-0.529037,-0.720581,-0.098404
-0.489075,-0.5755,0.023804
-0.527985,-0.798889,-0.004684
-0.916672,-1.285263,-0.29451
-0.634842,-0.763763,-0.36937
-0.504456,-0.574493,-0.217438
-0.462296,-0.466064,-0.243652
-0.609818,-0.8638,0.021118
-0.848526,-1.167587,-0.089172
-0.605423,-0.800034,-0.121307
-0.390915,-0.609619,0.020294
-0.484131,-0.686356,-0.032303
-0.869919,-1.168152,-0.161972
-0.435089,-0.849701,-0.554718
-0.496521,-0.594894,-0.056671
-0.580917,-0.668396,-0.31044
-0.591965,-0.953384,0.085831
-0.821381,-1.077484,-0.201508
-0.547394,-0.68541,-0.030563
-0.432816,-0.451523,-0.084473
-0.654572,-0.73645,0.060699
-0.780457,-1.140839,-0.2034
-0.626099,-0.73378,-0.851273
-0.521362,-0.671082,-0.185745
-0.49527,-0.596329,-0.027496
-0.597504,-0.817337,-0.02951
-0.731827,-1.020676,-0.1091
-0.610718,-0.828842,-0.120682
-0.556885,-0.606293,-0.197739
-0.413483,-0.741318,-0.110977
-0.750732,-1.087402,-0.174271
-0.580338,-0.859756,-0.308243
-0.493988,-0.581543,-0.146713
-0.401657,-0.479599,-0.053925
-0.733826,-1.049469,0.046692
-0.826828,-1.152878,-0.139114
-0.566299,-0.740723,-0.086594
-0.447952,-0.400757,-0.302567
-0.605042,-0.91011,-0.191559
-0.747116,-1.215424,-0.127625
-0.559097,-0.757034,-0.340851
-0.508606,-0.506271,-0.18129
-0.444839,-0.494415,-0.134842
-0.733185,-1.056396,-0.008926
-0.76886,-1.013382,-0.098694
-0.491638,-0.726624,-0.085648
-0.398712,-0.605728,0.006851
-0.582184,-0.817703,-0.038162
-0.679169,-1.003281,-0.268082
-0.670227,-0.817535,-0.171906
-0.537323,-0.588318,-0.274155
-0.395477,-0.575577,-0.054184
-0.726913,-1.069427,0.132401
-0.702652,-1.025177,-0.0802
-0.498703,-0.76001,0.019241
-0.476456,-0.659454,-0.124588
-0.649368,-0.817932,0.121307
-0.54805,-0.77858,-0.140503
-0.524048,-0.818558,-0.12854
-0.537399,-0.76445,-0.181427
-0.594116,-0.789001,-0.212189
-0.587662,-0.746368,-0.143219
-0.554718,-0.789856,-0.163589
-0.594421,-0.773407,-0.136765
-0.604187,-0.804199,-0.14653
-0.613846,-0.794235,-0.115005
-0.591675,-0.796478,-0.121445
-0.61116,-0.792542,-0.111694
-0.594681,-0.819992,-0.118607
-0.613037,-0.7742,-0.117371
-0.583801,-0.811523,-0.120468
-0.60289,-0.784027,-0.119003
-0.577271,-0.804886,-0.121384
-0.597656,-0.792603,-0.128387
-0.584183,-0.803467,-0.122589
-0.59198,-0.798279,-0.122971
-0.593216,-0.798416,-0.126755
-0.598755,-0.791473,-0.121094
-0.593796,-0.795715,-0.127808
-0.602844,-0.796646,-0.133667
-0.595352,-0.794922,-0.123352
-0.613052,-0.78598,-0.133392
-0.610931,-0.78566,-0.129929
-0.610138,-0.78569,-0.12999
-0.608795,-0.783142,-0.138382
-0.611465,-0.782471,-0.131241
-0.607925,-0.783493,-0.134735
-0.604599,-0.786865,-0.135132
-0.604187,-0.77771,-0.138535
-0.605316,-0.788666,-0.129486
-0.61264,-0.78273,-0.134293
-0.613571,-0.784821,-0.137909
-0.58699,-0.792374,-0.130295
-0.600784,-0.785034,-0.116638
-0.612595,-0.821259,-0.115982
-0.572174,-0.757156,-0.103394
-0.612717,-0.750458,-0.114807
-0.627289,-0.777924,-0.100006
-0.585754,-0.807968,-0.096939
-0.575317,-0.782242,-0.071716
-0.586624,-0.826248,-0.057678
-0.554016,-0.8685,-0.066299
-0.548859,-0.844025,-0.046005
-0.545258,-0.839828,-0.054932
-0.592346,-0.816833,-0.076019
-0.593124,-0.795792,-0.078308
-0.595749,-0.800735,-0.089722
-0.575058,-0.810318,-0.080292
-0.572861,-0.818207,-0.082535
-0.566299,-0.826569,-0.088318
-0.587082,-0.814941,-0.090408
-0.58075,-0.81546,-0.087265
-0.564758,-0.818756,-0.082123
-0.573044,-0.82756,-0.081009
-0.566422,-0.818604,-0.090622
-0.583115,-0.823593,-0.100357
-0.578217,-0.816299,-0.091797
-0.56987,-0.812119,-0.098511
-0.57547,-0.818832,-0.111145
-0.530472,-0.837036,-0.187042
-0.569199,-0.823425,-0.275955
-0.619003,-0.759293,-0.244736
-0.567291,-0.759827,-0.240219
-0.545227,-0.757492,-0.268433
-0.532471,-0.769836,-0.295593
-0.547256,-0.748856,-0.29425
-0.591522,-0.750732,-0.346451
-0.549805,-0.847153,-0.237122
-0.593613,-0.825195,-0.103333
-0.63269,-0.817108,-0.114792
-0.65831,-0.766235,-0.103989
-0.573196,-0.788406,-0.110748
-0.595413,-0.818008,-0.089493
-0.65004,-0.778656,-0.063904
-0.647675,-0.76001,-0.057037
-0.643097,-0.763641,-0.047775
-0.621674,-0.833115,-0.050919
-0.519775,-0.772049,-0.095566
-0.479553,-0.913437,-0.211243
-0.402512,-0.884567,-0.235687
-0.527374,-0.801025,-0.143875
-0.471222,-0.828018,-0.416611
-0.559982,-0.828964,-0.050369
-0.505173,-0.830231,-0.236969
-0.497406,-0.789185,-0.23494
-0.521881,-0.814941,-0.106903
-0.56282,-0.892593,-0.164856
-0.573746,-0.87178,-0.052094
-0.52887,-0.788467,-0.030884
-0.546387,-0.784775,-0.08046
-0.573608,-0.74295,-0.194199
-0.528931,-0.735611,-0.137146
-0.522568,-0.758423,-0.1698
-0.574905,-0.888916,-0.172333
-0.597626,-0.77446,-0.159103
-0.795349,-0.760483,-0.475845
-0.671097,-0.840225,-0.382751
-0.815109,-0.682129,-0.477371
-0.672058,-0.668701,-0.293427
-0.723755,-0.604218,-0.326263
-0.754105,-0.51593,-0.374252
-0.795578,-0.527023,-0.3806
-0.783875,-0.507523,-0.406235
-0.77478,-0.487625,-0.429474
-0.775879,-0.476776,-0.431107
-0.758957,-0.491684,-0.47319
-0.742447,-0.493713,-0.428787
-0.747833,-0.512283,-0.443527
-0.739685,-0.506607,-0.443375
-0.750122,-0.512848,-0.430878
-0.749313,-0.506454,-0.435089
-0.739807,-0.512909,-0.424759
-0.751175,-0.516663,-0.427414
-0.751648,-0.510666,-0.423691
-0.750046,-0.514496,-0.410599
-0.762466,-0.516663,-0.393341
-0.763794,-0.492722,-0.401215
-0.76149,-0.528656,-0.366058
-0.780853,-0.543091,-0.332001
-0.813873,-0.516068,-0.262558
-0.864838,-0.510681,-0.204575
-0.835953,-0.5952,-0.231491
-0.819687,-0.500519,-0.124313
-0.910904,-0.6474,-0.154648
-0.818008,-0.590591,-0.057266
-0.580704,-0.990433,-0.043823
-0.564163,-0.897934,0.012283
-0.578201,-0.888718,-0.031052
-0.536972,-0.924973,-0.052887
-0.494629,-0.78894,-0.021835
-0.507599,-0.8172,-0.116776
-0.487488,-0.780045,-0.069916
-0.5168,-0.747894,-0.086212
-0.487274,-0.728241,-0.08049
-0.481705,-0.832138,-0.042175
-0.508698,-0.780945,-0.04541
-0.588608,-0.873291,-0.036926
-0.572296,-0.821503,-0.024475
-0.5849,-0.813065,-0.066925
-0.573395,-0.785568,0.012131
-0.593262,-0.805801,-0.035538
-0.589279,-0.773712,-0.063934
-0.627411,-0.787689,-0.084122
-0.603241,-0.786224,-0.037094
-0.609451,-0.79512,-0.112396
-0.608032,-0.786972,-0.121414
-0.621765,-0.784332,-0.110352
-0.609421,-0.777588,-0.100113
-0.592972,-0.796829,-0.087204
-0.600372,-0.794418,-0.081909
-0.598557,-0.793976,-0.116745
-0.61821,-0.785583,-0.118973
-0.583374,-0.813904,-0.136765
-0.585648,-0.804947,-0.121948
-0.571411,-0.803101,-0.122894
-0.589096,-0.790848,-0.108505
-0.56308,-0.819473,-0.111023
-0.590744,-0.795105,-0.131805
-0.621109,-0.789581,-0.120285
-0.567276,-0.817703,-0.1315
-0.600754,-0.79306,-0.117538
-0.584518,-0.806152,-0.117935
-0.595078,-0.795609,-0.125031
-0.598663,-0.797409,-0.113419
-0.582504,-0.802612,-0.100464
-0.559906,-0.832596,-0.100174
-0.50473,-0.842896,-0.164673
-0.52713,-0.771164,-0.391159
-0.59523,-0.776779,-0.183868
-0.49321,-0.787735,-0.364288
-0.547974,-0.809784,-0.346939
-0.633041,-0.791946,-0.235168
-0.525055,-0.740845,0.005859
-0.593277,-0.851685,-0.038406
-0.593994,-0.793549,-0.06839
-0.587921,-0.777817,-0.027527
-0.632019,-0.807114,-0.094604
-0.631958,-0.796997,-0.08345
-0.619537,-0.759888,0.063309
-0.653275,-0.803177,-0.091461
-0.520996,-0.737152,0.000732
-0.47496,-0.801224,-0.256348
-0.611801,-0.966995,-0.231598
-0.555313,-0.75444,-0.247131
-0.575745,-0.75087,-0.204285
-0.619583,-0.731964,-0.36412
-0.661072,-0.716782,-0.256088
-0.637329,-0.835129,-0.199982
-0.465912,-0.753098,-0.073349
-0.613281,-0.873322,-0.069824
-0.553436,-0.816269,-0.052032
-0.514069,-0.847046,-0.16687
-0.601273,-0.834412,-0.094086
-0.598816,-0.783752,-0.04393
-0.577026,-0.800842,-0.057129
-0.48494,-0.837738,-0.053864
-0.642273,-0.952042,-0.176193
-0.447342,-0.75824,-0.18428
-0.585739,-0.796494,-0.097244
-0.608856,-0.861801,-0.139664
-0.555023,-0.805038,-0.167526
-0.565155,-0.797592,-0.043503
-0.561478,-0.786636,-0.051331
-0.661285,-0.87088,-0.07341
-0.614059,-0.776718,0.004196
